"","country","var(state_capacity)"
"1","Albania",1.20776729051697
"2","Armenia",0.745448560017455
"3","Azerbaijan",0.0747948501645798
"4","Belarus",0.0541563621165774
"5","Bulgaria",0.276234872308775
"6","Croatia",1.8285778576888
"7","Czech Republic",0.0317177818184088
"8","Estonia",0.548818834016268
"9","Georgia",1.52757049285231
"10","Hungary",0.0560943950394959
"11","Kazakhstan",0.70864877420073
"12","Kyrgyz Republic",0.0622726825076391
"13","Latvia",0.249803170307915
"14","Lithuania",0.25107825967044
"15","Macedonia",0.593513734676842
"16","Moldova",0.0192793162201049
"17","Mongolia",0.0644878005137191
"18","Poland",0.213130294285816
"19","Romania",0.318346594861457
"20","Russia",0.086176386563638
"21","Serbia",3.42483920626369
"22","Slovak Republic",0.0900024502971521
"23","Slovenia",0.0564027126064831
"24","Tajikistan",3.36315157690093
"25","Turkmenistan",0.0238912291629428
"26","Ukraine",0.115118400479937
"27","Uzbekistan",0.159694416426101
